name,artist,id,danceability,acousticness,liveness,loudness,speechiness,mood
Kusalammaa Neeku,K. Chakravarthy,https://open.spotify.com/embed/track/6jZSnFJI8IkUqGvEFPrQsS?utm_source=generator,0.366,0.995,0.231,0.626180756,0.0339,Chill
Tauba Tauba,Mani Sharma,https://open.spotify.com/embed/track/0LEgSjp2LaHc0V7nh8vQAG?utm_source=generator,0.899,0.16,0.0569,0.822640722,0.141,energetic
"Ede Swayamvaram - From ""Made in Heaven""",Krishna Tejasvi,https://open.spotify.com/embed/track/0sq2oF7MXv6q8c8lMrUe0m?utm_source=generator,0.21,0.826,0.129,0.775917042,0.0432,Chill
Pettamandhi Pettamandhi,M. M. Keeravani,https://open.spotify.com/embed/track/7LKOi9Oeor1pfGXXgB6Fl7?utm_source=generator,0.722,0.374,0.159,0.752167824,0.264,romantic
Makkala Raasi Meedha,Mukunda Priya,https://open.spotify.com/embed/track/4vtdmKFbvlEMoGoeLe7t2E?utm_source=generator,0.734,0.555,0.0866,0.755713817,0.199,romantic
Jo Achyuthananda Jo Jo Mukunda,M. S. Subbulakshmi,https://open.spotify.com/embed/track/6ZKc3w8osIQrVFpMvpEs3a?utm_source=generator,0.316,0.853,0.401,0.709854286,0.0386,Chill
Chitram Ga,Harsha Prawin,https://open.spotify.com/embed/track/5pPSSgYCZnGzkZSX3SPAyp?utm_source=generator,0.905,0.461,0.103,0.810632021,0.035,romantic
Manasa Sancharare,Bombay Jayashri,https://open.spotify.com/embed/track/3tym2RHSWAorS4DfWxgSDV?utm_source=generator,0.421,0.788,0.0607,0.78402217,0.0526,Chill
Ammaye,Mani Sharma,https://open.spotify.com/embed/track/2YZZFwARteC3gM1aEgHHMr?utm_source=generator,0.856,0.0489,0.223,0.915790101,0.141,energetic
Yenti Yenti,Gopi Sundar,https://open.spotify.com/embed/track/37LmFlPnpsBISJjNvqbUkT?utm_source=generator,0.742,0.223,0.0888,0.766709378,0.0455,energetic
Malli Malli,Ilaiyaraaja,https://open.spotify.com/embed/track/2JjMcwValUY2BbrfHABoSZ?utm_source=generator,0.62,0.623,0.332,0.820346256,0.0374,romantic
Maro Maro,Devi Sri Prasad,https://open.spotify.com/embed/track/0ceIl3lqBkRnS1K7WQ2C8Q?utm_source=generator,0.912,0.0451,0.0474,0.763789147,0.12,energetic
Pranamlo Pranamga,Kalyani Malik,https://open.spotify.com/embed/track/3FB6fY9ZiVn8s2ZP6bksdY?utm_source=generator,0.732,0.672,0.346,0.76098811,0.0419,romantic
Mallelu Pooche,Rajan–Nagendra,https://open.spotify.com/embed/track/70j0Ywu65YPMBYvqgenJrB?utm_source=generator,0.4,0.976,0.116,0.548079502,0.0341,Chill
Idhe Paata Kanekadhu,Sathyam,https://open.spotify.com/embed/track/3VDSwaZQ1viDckhw5BFn6l?utm_source=generator,0.587,0.78,0.553,0.745373819,0.0723,cheerful
